reviewId,review,score,gender,location,date,,
0,"Nice, ubskippable ads with the poor excuse of 'it supports our creators', right with the 0.05c per ad and re-uploads of actual content. I hate that I'm forced to use this app in order to find real creators. I wish I could give soundcloud 0 or negative stars.",1,male,"Guadalajara, Mexico",2011-01-08,,
1,it never saves my playlists and refuses to let me download my videos,1,male,"Jakarta, Indonesia",2008-07-31,,
2,App doesn't even respond,1,male,"Dallas, United States",2010-01-19,,
3,Huge amount of ads between each track is exhausting,1,male,"Guayaquil, Ecuador",2011-11-20,,
4,Horrible experience. Practically unusable.,1,male,"Harare, Zimbabwe",2009-04-11,,
5,internet is good but the app isn't responding after this new update. is just blank screen after i try logging in,1,male,"Delhi, India",2008-06-21,,
6,even though I have internet. everything else is working but not soundcloud. it just shows no internet connection,1,male,"Vienna, Austria",2007-10-11,,
7,SoundCloud keeps saying won't play internet connection when I can go on YouTube Music and listen to my songs fix the server or some man not cool,1,male,"Phoenix, United States",2009-12-18,,
8,app keeps saying I have no internet connection (using cellular data or wifi) tried Closing and reopening it and no difference 🫤,1,male,"Jakarta, Indonesia",2008-12-18,,
9,It's so bad and doesn't support all countries and doesn' help at all👎🏻,1,male,"Abuja, Nigeria",2009-07-05,,
10,hardly ever works fine. Has trouble loading tracks.,1,female,"Canberra, Australia",2013-02-07,,
11,it stopped completely and it a trashy app,1,male,"Jeddah, Saudi Arabia",2008-12-16,,
12,"The worst UI experience there is. It's messy, unintuitive. Daily drops for instance, the best thing in the app is gone. Just bad.",1,male,"Geneva, Switzerland",2008-02-06,,
13,This review is not available in your country,1,male,"Vancouver, Canada",2011-05-04,,
14,I have been using this app since last 1 month but now it is not opening and neither is there any option to update it.,1,male,"Phoenix, United States",2011-01-26,,
15,maybe,1,male,"Cairo, Egypt",2009-02-28,,
16,Keeps pausing every few seconds.,1,male,"Boston, United States",2010-03-21,,
17,"Wow man, I got signed out and I couldn't even log back in. And I got blocked I hate this app please I am begging delete it (I got my account back)",1,male,"Munich, Germany",2008-04-20,,
18,They updated it and now it's unusable. I can't search for songs and anytime I play music it randomly pauses. I trued uninstall ingredients it but it made it worse. Before the update it was a good app but not anymore. Please fix this,1,male,"Krakow, Poland",2008-01-22,,
19,"anytime I like a track, SoundCloud removes the like making it difficult to go back to tracks I like unless I save it to a Playlist 2/10 user experience for that one",1,male,"Nadi, Fiji",2012-08-10,,
20,"since the new update this app is absolute GARBAGE. It won't play songs, even when downloaded, the app closes, stops loading songs, and randomly has 5-10 seconds where the sound cuts out. I'm hoping the next update fixes this but I'm not holding my breath. ***DO NOT DOWNLOAD***",1,male,"Salvador, Brazil",2012-01-09,,
21,Account not found!!? I've been using this app with one account for months! now it's saying that my account doesn't exist like bro!? all my songs everything are gone now I hate this stupid app fix your app!!,1,male,"Brasília, Brazil",2012-04-11,,
22,"Last update ruined this app,pls fix it",1,male,"Brasília, Brazil",2012-02-20,,
23,"after having a long long time of delays and music not playing, thinking it was my phone, everythingelse is working fine except for SoundCloud....now it's not playing at all SoundCloud you need to fix this problem and stop running up my data bill.",1,female,"Brisbane, Australia",2013-02-08,,
24,Will not open. Cannot sign in. Time out error message ALL THE TIME!,1,male,"Cancun, Mexico",2010-10-30,,
25,The app's a waste of space,1,male,"Santiago, Chile",2012-02-17,,
26,2fa is not working!!!!,1,male,"Ottawa, Canada",2009-12-20,,
27,"Bro, this thing is buggy every time I open it",1,male,"Seville, Spain",2007-10-21,,
28,معلق النظام ولا يخليني ادخل حسابي,1,male,"New York, United States",2010-02-24,,
29,I couldn't load anything and when I uninstalled and reinstalled it wouldn't let me log in. it would just stay blank. (no it's not my wifi and I turned it off to see if it would work with my data and it STILL didn't work.),1,male,"Copenhagen, Denmark",2008-03-25,,
30,The App is not working what's going on SoundCloud Please fix this issue.,1,male,"Asunción, Paraguay",2012-02-24,,
31,Some songs are not available in Nigeria,1,male,"Montreal, Canada",2011-06-29,,
32,Adds more ads,1,male,"Los Angeles, United States",2010-10-06,,
33,when I offline songs not play,1,male,"Dar es Salaam, Tanzania",2009-02-28,,
34,𝑷𝒂𝒕𝒉𝒆𝒕𝒊𝒄 𝒂𝒑𝒑 𝒘𝒉𝒊𝒄𝒉 𝒅𝒐𝒆𝒔𝒏'𝒕 𝒐𝒑𝒆𝒓𝒂𝒕𝒆 𝒊𝒏 🇵🇰. 𝑺𝒉𝒂𝒎𝒆𝒇𝒖𝒍 𝒂𝒄𝒕.,1,female,"Queenstown, New Zealand",2013-02-23,,
35,The app no longer shows up in the background. Once I press the menu button the app disappears only leaving the music box at the top of the screen. That's highly annoying as I want to be able to go back and forth in the app and change the song with having to boot it up all over again. I feel like this a strategy to force people to buy soundcloud+ because people without it have to change/skip songs manually in the app instead of using the skip button so they can avoid the ads. Y'all are not slick.,1,male,"Hanoi, Vietnam",2008-05-30,,
36,Y'all are way too heavy on the ads,1,male,"Toronto, Canada",2011-01-15,,
37,Ads are GARBAGE!!!!!,1,male,"Seattle, United States",2010-04-28,,
38,"Used to be a good app, but now there's too many long adverts advertising absolutely WORTHLESS things I have no interest in, and I NEVER will. Advertisement will NOT work on me, I just turn down the volume every time and look away instantly 🥰 Can't believe how rubbish SoundCloud is now. Should be called AdCloud.",1,male,"Los Angeles, United States",2009-11-18,,
39,"Too many ads these days, not worth the effort",1,male,"Tijuana, Mexico",2011-08-29,,
40,world slowest app,1,male,"Marrakesh, Morocco",2009-06-05,,
41,at first everything was all fine and nice and the music was great but suddenly without any emails or anything and I haven't posted anything I can't see my liked music I can't see any songs I can't see my account can't see my homepage it's all not avabile tried reclosing and reopening the app when I undownloaded and re downloaded and tried to log in or even make an account it would just bring me to a white blank page for no reason..?????,1,male,"Boston, United States",2009-11-09,,
42,fix your app. I'm not going to waste time naming all the issues. there shouldn't even be bugs.,1,male,"Pretoria, South Africa",2009-05-29,,
43,"latest update made it completely unusable, can't even sign in.",1,female,"Gold Coast, Australia",2012-11-12,,
44,it freezes most of the time and it's irritating,1,male,"Auckland, New Zealand",2012-09-15,,
45,0/10 do not install this it deleted your Playlists,1,male,"Montevideo, Uruguay",2012-02-18,,
46,"app simply does not function anymore, songs take forever to load. everything is slow, add after every song (long adds) plays the wrong song when u click, just bad",1,male,"Madrid, Spain",2007-11-03,,
47,not working after upadate,1,female,"Perth, Australia",2012-11-04,,
48,"My account was deleted for an unknown reason because I was posting tracks like sped up & the original tracks that kept shutting down, it's getting worse every year, someone help make this better for once",1,female,"Sydney, Australia",2012-11-18,,
49,For me it would not let me in or sign in and I'm about to crash out rn and that just made me more mad,1,male,"Asunción, Paraguay",2012-02-03,,
50,"If you want an app that lets you steal and post other people's songs. This app is for you. If you want an app that lets you search for 1 song, then hit play, then after that same song, ANOTHER same song plays right after. Instead, it's posted by some random person, so it plays that same song, just a little tweaking, then they call it their work. FYI, 30 minutes later, I'm playing the same dang song. Won't go to a new song at all. Ads are annoying. Worse than spotify.",1,male,"Toronto, Canada",2010-04-20,,
51,Too much ads,1,female,"Christchurch, New Zealand",2012-12-21,,
52,can't save my .music even tough I've paid for the year,1,male,"Tijuana, Mexico",2009-12-12,,
53,"I live in a rural area, wifi is practically nonexistent, cell phone service IS nonexistent. I can play a podcast on Spotify, let the cache load and still be able to finish it when I lose signal. There is no such functionality with SC, unless it's a paid feature, but I'm a free user on Spotify. So disappointing.",1,male,"Nairobi, Kenya",2009-05-28,,
54,"Glitch in the Google payment method caused my subscription to lapse, so i lost my original pricing. Now it's almost 2x as much. Can't get ahold of anyone to fix it. Still doesn't work offline",1,male,"Edinburgh, United Kingdom",2007-09-29,,
55,Musick random pause for few seconds and it's not about the internet other apps work fine but this one just breake the music vibe 0/10 not recommend,1,male,"Brussels, Belgium",2007-11-11,,
56,app crashes all tge time pos godwater,1,male,"Valencia, Spain",2007-12-11,,
