n_review,score
 The application features are really amazing but it is often that we can connect our feature.,3
" Le programme est trop bugue, il ne marche pas la moitié du temps",1
 Why the fuck does this app not have a fucking sleep timer.,1
 I bought the application and there isn't anything playing because of the bad connection.,1
 I have received an excellent service.,4
 Better than any other apps for music,5
" it is just amazing and if you like, you can buy the family pass! You can also view the lyrics of the song you're listening! It just too bad that you can't see them without Internet! That's everything!",5
 I only use the musical application,5
 The application does not work very well.,4
" It stops playing music at some point, so I have to switch to Spotify.",1
 Four stars.,4
 This application does not function. I signed up for and continue to unable to make use of the software program at all. The aid group is,1
" Because the application is not working perfectly anymore, we cannot use it like before.",1
 The application is very good,3
" The sound quality of the songs is awesome, but the way you can play your own list of music sucks a lot. In fact, this is the most frustrating thing about the app.",3
 I'm in love with my mother,5
 I like the application and is perfect paired with Sony headphones.,5
 It's just average,3
,4
 The app sucks.,3
 sometimes the sound is very good,5
 The application works good! But it's a pity that we cannot listen to music while sleeping.,4
" It's really a shame that for the last few months I'm having this problem with the content and this happens when you are about to play a song on the album or an artist, but then your subscription doesn't work well because of this thing, so maybe you can cancel it.",1
 The streaming service is very good but it needs to improve.,4
 The sound quality in the application is much better than those of other platforms.,4
 For several months he is charge me for a double and has not refunded yet… I’m so very angry.,1
 I like it,5
 It's great but you can't really enjoy the best features of this app without streaming device or desire to listen to music on PC. There's no means to connect to a speaker wirelessly yet from mobile while controlling it remotely via smartphone right now leading towards an extremely unwieldy experience.,3
 Very slippery and black...,1
 Thank you all for your work!,3
