review,sentimiento,score
Updating my 2-star review from 3 years ago. This app has actually gotten worse. If you just want to stream this works fine enough. If you want to download your playlists for HiFi music on the road look elsewhere. This app will constantly disable your offline music and the only option is to delete everything and re-download every few days. I have a 1TB internal drive on my phone (Samsung Fold 4). The app will start to bug out once I hit around 7K downloaded songs. The downloads just freeze up., Negative,1
🙏🏽, Neutral,5
"I use to like this app alot, but not anymore when you're putting commercials in the middle of the song instead of at the end. For now I'm uninstalling this app. Maybe in the future I might give the app another try, but that's a big maybe.", Negative,1
"Excellent service, but I may have to consider other options upon learning of it's new owner.", Negative,4
Amazing sound quality(only possible with a DAC + great headphones) on my Mac and Windows. There is no difference on any smartphone. My only complaint is that it keeps repeating the same songs inside my Playlist on shuffle mode. Please fix that., Neutral,4
Why us tidal constantly passing my PAID tidal account and yelling me its pausing because I am on an android device@ this just started happening like a month or 2 ago. Fix or I'm canceling my subscription, Negative,1
"Great audio, amazing selection. I do a lot of house DJ mixing and everything I need is here. Videos are great on the TV too but please sort out the Amazon integration in the UK.", Positive,3
I like it. Mostly the ability to stream with Serato ., Positive,4
it is not working😠, Negative,1
"I really have to say something. The problem is you can't log in with Google. You only able to log in with twitter, Facebook.", Neutral,1
One star because Tidal tracks your every move and sells your data to third parties. Why? I pay for this app! Block tracking with Duckduckgo. Going to find an alternative., Negative,1
"I love the sound quality and the platform. I wish that you could have more than 10,000 songs in a playlist though. It might sound odd, but I want a playlist of all my fav songs so I can put it on shuffle and hear anything in my collection. Overall though, very very good.", Positive,4
I like you all app you are the best never let me down, Positive,5
"So far, the app can feel sluggish occasionally. It makes it harder to justify using it.", Negative,1
Best, Positive,5
"I suppose this app is ok and I was considering paying for subscription but have given up after trying to input my date of birth. Absolute nightmare scrolling from 2018 to the 1950's. What's going on why can't i type it in. App deleted. Update 2025, took out a sub and had been working fine for ages until yesterday's update. Now offline mode doesn't work, download are taking forever, I could be tempted to cancel and go elsewhere.", Negative,1
"I couldn't find where it says free OR subscription. Since no price was listed, I uninstalled before signing into the app.", Neutral,3
Just a tad better than Spotify. Still way too expensive., Negative,2
"Just cool. Better than spotify. Pays artists more. Like the overlay and quality, much love!", Positive,5
"You cannot control the player from other devices, and it is not available for consoles, like Spotify. Simply sad, the app has excellent audio quality.", Negative,4
Awesome app with great variety of music of all genres and good quality sound., Positive,5
"Good but app needs to be optimized for foldable phones. App restarts and does not continue when going from outer to inner screen, and viceversa.", Neutral,3
Works great but for some odd reason my subscription disappeared. Going in the website I'm just unable to update subscribe just errors out., Neutral,5
"Each time I try to play song , it says ""this content is currently unavailable. I've tried uninstalling, clearing cache and data. Nothing works. At this point, I think I should cancel service since I'm paying and can't listen to music. Edit: it had been a month since this issue, Tidal has yet to fix the problem", Negative,1
Really easy to use and the audio quality is very good:)), Positive,5
"UDATE. VER 2.73 appears to have fixed MQA playback on external DACs. For example, the Ztella. However, the poor customer support remains. PREVIOUS. The latest version with profiles has now broken MQA external DAC support. Review update: so I am not the first to report this broken functionality. See review of 21 Nov by Gan Hong. Yet I received the standard pro forma response from the developer to contact Support. Nothing about they are working on this as it has already been reported!", Neutral,4
"""Playlist"" is a bit of a misnomer if it's going to completely ignore the music I put on the playlist and just play whatever it wants. Spotify will at least play a several songs from a playlist before going off list, but Tidal won't play more than a couple at a time. Sometimes it literally ignores your list from the first song, and I can't find a setting to make it play from my actual playlist.", Negative,1
"Tidal is the better app for listen music and they have the option of Hifi, Master and DOLBY ATMOS!!!!!! Is awesome!!!!", Positive,5
Chromecast option disappeared. All other apps are showing them normally. I already restarted the phone and nothing. This is one of the worst music apps., Negative,1
Pushed an Obama playlist. Lol. Who gives an F. Canceled my premium., Negative,1
